,topic,document
37,1,"Sculpture commemorating Alfred Deakin, Primie Minister of Australia and the initiator of the Mildura: Sculpted by Michael Meszaros and presented to the city to mark the centenary of the irrigation colony in 1987. The memorial represents  fruit blocks and irrigation channels as seen from the air. "
38,28,"The Grand Hotel (to the right): Enter the Grand Hotel’s main entrance and turn left. To your right, you will see a display of historical photos. Through the glass doors are one of Mildura’s original Chaffey fountains."
39,27,"Commodore Motel former site of the Warren boarding house: Back in 1888, this site was a early boarding house called the Warren. A plaque marking the site can be found at the entrance to the motel’s restaurant. The Warren was demolished in 1965.
"
40,12,"WIN TV: Originally STV8, opening in 1966 and next door is the Sunraysia Daily, the local newspaper.
"
41,12,"The Cultivator: Mildura’s earliest newspaper was the Cultivator, begun in 1888. It was a
twice-weekly publication that moved to the current Sunraysia Daily site at
22 Deakin Avenue in 1912."
42,12,"Sunraysia Daily: Local identity, C.J De Garis bought The Cultivator along with the Mildura
Telegraph and Merbein Irrigationist and merged them into one paper, the
Sunraysia Daily, in 1920."
43,68,"George and William Chaffey Building: Across the road is a single story late Victorian, red brick building, with
a brick and iron palisade fence. The building was gifted to La Trobe Uni in 2009 by Don Carrazza."
44,28,"Electric Supply Department Substation No.1: In the centre plantation, stands the Electric Supply Department Substation No.1, dating back to 1936, when the production of electricity was considered a local responsibility, rather than a state one."
45,52,"Queen Elizabeth II visit to Mildura, March 25th, 1954: When Queen Elizabeth toured Mildura in 1954, a decorative dais was erected in this area of the plantation.  Pics of this day are displayed at the Carnegie Centre. Visit to Barclays Block in Red Cliffs"
46,12,"Bowring's Store, corner Deakin Avenue and 8th Street - Circa 1937: The site of the ANZ Bank was previously known as Bowring Corner and was the site of Bowring’s Store, opened in 1888. It extended into Langtree Avenue in 1961 but ceased business two decades later.
"
47,12,"Old Mildura Post Office (LHS of Deakin Ave): This corner building was for over a century, the Mildura Post Office. The earliest Post Office on this site was built in 1890, with much of the current building being erected in 1923. "
48,68,"George V Memorial Fountain (in centre plantation): Crossing into the centre plantation, you will find the George V Memorial Fountain, originally erected in the gardens of the Rio Vista, home of W.B Chaffey, it was moved to its current position in 1936"
49,12,"Mildura Law Courts (LHS of Deakin Ave): Opened by Robert Hulls, Victoria’s Attorney General, on Nov 23 2004. This complex was built on the site that began as Washington Stores, before becoming Maples, before it all went up in flames in 1996"
50,20,"70 Deakin Avenue (LHS of Deakin Ave): Once the site of the Shire Offices, beginning as a modest, timber, two roomed building before the current building was erected in 1922. In 1971, the Shire Offices were relocated to Irymple. "
51,20,"Carnegie Centre - Home to the Historical and Genealogical Societies (LHS of Deakin Ave): Constructed in 1908, as the Carnegie Library, courtesy of a 2000 pound grant made by Andrew Carnegie, in 1906, after a request from Lord Hopetoun. The tower was added in 1922 as a soldier memorial."
52,20,"Civic Buildings  (LHS of Deakin Ave): The Civic Buildings, opened in 1958 and it’s also the site of the original Shire Hall, also known as the Mildura Town Hall."
53,8,"Statue of W.B. Chaffey (in center  plantation): In the center  plantation is a statue of W.B. Chaffey, who died in 1926. The Paul Mountford sculpture was unveiled in 1929. A similar sculpture can be found in Renmark, SA. "
54,8,"Desailly Rotunda (in center  plantation): The centre  plantation is home to the Desailly Rotunda, named for Cr George Desailly, former Shire President, who died whilst in office in 1913."
55,12,"61 Deakin Ave - Mildura's earliest surviving building (RHS of Deakin Ave): On the RHS of Deakin Ave is the earliest surviving building in Mildura. It started out as Mildura’s first general store, owned by H.B Williams, in 1887. A bank altered the building appearance in 1937."
56,68,"69 Deakin Ave (RHS of Deakin Ave): Built in 1914, this  Edwardian building has been a restaurant, a bank, a real estate agency and other businesses, which although altered over the years, still retains some of its original charm.
"
57,12,"Mildura Club (RHS of Deakin Ave): The Mildura ""Gentlemen's Club"" began in 1890 with Lord Ranfurly as the first President. Meetings were originally held at the Coffee Palace, until this building was completed in 1920. "
58,20,"Deakin Cinema Complex  (RHS of Deakin Ave): The Deakin Cinema complex was  established in 1975. A point of interest is that the cinema includes the original site of the Masonic Temple, built in 1907, with the façade still remaining. "
59,12,"Mildura Workingmans Club (LHS of Deakin Ave): An iconic landmark, once famous for having the world’s longest bar (which was removed in recent renovations.). Begun in 1908, it was originally a 1 story structure with a 2nd level added in 1935. "
60,12,"Mildura Workingmans Club  War Memorial (LHS of Deakin Ave): Has stood at the front of the club, since 1920, honoring Mildura’s war dead. The marble soldier is the work of A.D Thomson and the three-sided list of soldiers’ names underpins the heavy losses of WW1"
61,7,"Methodist Church (LHS of Deakin Ave): Opened in 1912, this unique church had a number of architectural influences, including Byzantine, Queen Anne, Masonic and Art Nouveau . Image: Methodist Church under construction 1911."
62,7,"The Church of Christ  (RHS of Deakin Ave): Built in 1908, the Church of Christ was first organised by Reuben Mansell in 1890 and members met in a variety of venues until this building was completed using all voluntary labour. "
63,8,War Memorial (centre plantation): Commemorates those who died or were killed in World War One. Erected by the Mildura Branch R. S. & S. I. L. A.
64,7,"Uniting Church / St Andrew’s  (RHS of Deakin Ave): The Uniting Church, known as St Andrew’s, started out as a Presbyterian church and was built in 1914, at a cost of 2097 pounds. It replaced a wooden structure that had been there since 1891. "
65,7,"St Margaret’s Anglican Church (LSH of Deakin Ave): This church opened in 1902, with the addition of the sanctuary in 1934 and the vestry and bell tower in 1957 that honours the lost soldiers of World War II."
66,12,"Madden Avenue : Madden Ave was originally planned to be the principal retail district of Mildura due to easy access to the wharf. However,  Langtree, with it’s proximity to the railway proved to be more significant"
67,12,"Mildura RSL Sub Branch: The Returned and Services League with some 1500 Sub Branches Australia wide and with a membership of 240,000 is the largest service association in Australia."
68,66,"Mildura Water Tower: As you cross over 10th street, to your right you will see one of  Mildura's Water Towers. Built in 1957, the tower provides water pressure for thousands of homes across the urban area."
69,28,"Mecure Hotel : Commercial Hotel, commonly remembered as the Wintersun and now the Mecure Hotel was built in 1925"
70,66,"Disused water tower: Behind the hotel is a disused water tower, which from 1912 until 1957 operated as Mildura’s sole source of water storage. Instigated by the former First Mildura Irrigation Trust. 180000 litre capacity"
71,3,Under the Clocks: Melbourne's well known and iconic meeting place is under the clocks at Flinders Street Station. Sit on the steps and see the world go by. 
72,1,"Mirka Mora mosaic: Mirka Mora made this mosaic in about 1985, it is brilliant. Do not be one of the thousands who walk past it every day without stopping. "
73,51,"To Birrarung Marr: The slope down to Birrarung Marr, always fills with expectation. The sculpture of hundreds of red poles is a cracker. Go up and push the poles firmly, what a noise!"
74,3,"Federation Square: There always seems to be something happening at Fed Square whether it is concerts, buskers, festivals or people lolling about. The pavers are great to sit on on a sunny afternoon. "
75,55,The Art Centre from Fed Square: Looking over to the Art Centre spire from Fed Square.
76,4,"Birrarung Marr playground: The playground is always open. Watch kids play and enjoy the tube slides, sand pits, swinging hammocks, activity panels, rock and rope climbing features and balance beams."
77,4,Art Play: Art Play is a great place for children it has lots of shows and creative activities for kids.
78,1,"Mosaic outside art play: I do not know what the story is behind this brightly coloured mosaic outside Art Play, but it is wonderful. "
79,15,"Textured path: The winding, textured pathway of cast iron acknowledges the significance of the eel as a traditional food source for groups camped by the river."
80,51,Watching rowers from Birrarung Marr: Sit on the seats under a shady tree watching rowers go by.
81,46,To Princes Bridge: The gravel path on the river bank is a bit quieter. More seats and looking back to Princess Bridge. 
82,31,West along the river: From 'Angel' you can get a good look along the Yarra River 
83,1,"Angel: Angel (ceramic, steel and concrete) by Deborah Halpern is an artwork commissioned by the National Gallery of Victoria. It is even more impressive than the photo suggests. "
84,4,Grassy hill for rolling: There should be more grassy hills like this one in the centre of cities. Watch the number of kids who are immediately drawn to it and roll down laughing.
85,35,Walking up the slope to the bridge: The trees and shrubs set in the stone fence as you walk up the slope to the William Barak bridge. 
86,35,"William Barak bridge: A purpose built walking (and cycling) space, William Barak bridge is one of true delights of Melbourne. Beautiful and functional.   "
87,3,"Listening to Proximities: Proximities is a public art installation commissioned for the 2006 Commonwealth Games.  The stories and songs from 53 Commonwealth nations come out of the many, many speakers across the bridge. "
88,3,Sit and watch Melbourne: Sit on the bridge and look south to the Yarra and Tennis Centre or north to the city and listen to the trains go by underneath.
89,34,Off the bridge to the 'G': Coming off the bridge and walk to the MCG under the shade of magnificent old Elm trees.
90,24,"The MCG: The MCG, what a collosseum. You don't realise how massive it is until you actually see it. Even if you don't like sport, the sound of the crowd cheering will grab your attention."
91,1,"Dennis Lillee: Bronze statues do around the MCG, none more impressive than the great Dennis Lillee."
92,63,Aussie Rules: Statue commemorating the first game of Australian Rules Football said to be played nearby on 7 August 1858.
93,69,Jolimont Station: Its a beautiful the old train bridge. Catch a train (or tram) back to Flinders St or keep going. 
94,4,"Watt's Cottage: Home to early settlers in Sorrento, this house was built in 1869. The Pioneer Memorial Garden is well tended with blooms all year round. Tours available (at limited times)."
95,13,"Information boards and cafe: Check out the information boards here for details about the history, local environment and features of the area. All Smiles Cafe located a short walk away from here."
96,2,"Surf's up: A good spot to watch the surf, have a picnic, go for a swim, read a book or do whatever you please."
97,29,Uphill climb towards the top: Definitely a steep climb uphill but the scenery from the top is very worthwhile. Get your heart rate up!
98,76,"Panoramic views: A perfect spot to watch the sunset, or simply enjoy the sweeping panoramic views."
99,2,"Heading down to the beach: Follow the track, which will eventually take you towards the beach."
100,2,Fine sandy beach: Enjoy the salty sea breezes as you feel the sand under your feet on this beautiful stretch of coastline. 
101,2,Portsea Surf Lifesaving Club: You can take a detour here if you need a toilet stop.
102,2,'London Bridge': A great spot to explore the rockpools and wander under the 'London Bridge' (but not during high tide of course). You can continue along the beach all the way to Point Nepean if you like.
103,11,Public toilets and drinking fountain: Phew! It's a pretty steep ramp that leads you up here. A convenient toilet stop and a chance to top up your water bottle before heading off again. 
104,46,Start of Wilson's Folly Track: There's a sign a near the car park marking the start of the track. Apparently Capt R Wilson simply lit a match wherever he thought the bush needed to be cleared for the army\'s weapons training areas.
105,0,Looking out to the sea: Listen out for the twitter of small birds in this fabulous bit of coastal bushland overlooking the sea.
106,5,"Unexploded bombs: A former weapons training area. ""All large unexploded ordinance has been removed but you may come across small arms such as rifle and pistol shells,"" which of course, you shouldn't touch."
107,32,Point Nepean Visitor Centre: The visitor centre has plenty of local information and maps of the area. You can take a tour to the historical Fort Nepean (a buggy can transport you there). Public toilets and BBQ available here.
108,2,Mighty high fences: You can take a short detour down to the beach via Cove Ave. Clearly residents here like their privacy but it's such a shame that the street is marred by these enormously high walls and fences.
109,72,"Nature strip plantings: Thankfully, there are patches of wonderful plants to enjoy as you walk down the street."
110,1,A little bit arty: ... and even a bit of art to give some of these high walls a little bit of character.
111,75,On the other side: Across the road are a row of charming cottages that reminds us of how the area used to look before the high walls and fences came along.
112,60,"Bus stop: You can catch bus number 788 back to Sorrento, or all the way back to Frankston along point Nepean Road. "
113,25,Boardwalk near fishing platforms: The boardwalks starts along the path just past the carpark on Lakeside Drive. A few fishing platforms go off the boardwalk.
114,25,"Wetlands: The inlet is on one side of the boardwalk and wetlands on the other, both have an abundance of birdlife and aquatic life."
115,54,The shared path: The shared path is very popular with walkers and bike riders alike and is in pretty good condition.
116,0,Pelicans and piers: There are many little jetties dotted along the path and it is hard not to spot a pelican or two perched on many of them.
117,25,Raised boardwalks: The wonderful raised boardwalk provides a shady spot to look out to the inlet.
118,48,"Mallacoota harbour: Old and new, big and small boats (but nothing too flash!) in the Mallacoota harbour."
119,58,Coull's Inlet: Coull's Inlet is beautiful on a still early morning.
120,41,"Fishing spot: One of the many fishing spots along the walk. Even if you are not into fishing, it's fun to watch early morning anglers. "
121,53,"Goat & other Islands: Beautiful views abound on the walk. Goat Island, Rabbit Island and more..."
122,51,"Moored boats: Over the summer, many camping ground visitors more theri boats along the shore. Boats for fishing, water skiing, bird watching or pleasure.... "
123,45,"Mallacoota Foreshore Holiday Park: The next part of the walk goes through the council caravan park, in summer there is always something to look at."
124,77,"To Capt. Stevenson's Point: If you want, you can take a short detour off the path and follow the water to Capt. Stevenson's Point (or stay on the path up above). "
125,2,Capt. Stevenson's Point: A great spot to look up the inlet or to the mouth (and watch boats go out to sea). You can even see Gabo Island from here.
126,0,"Koalas: If you look carefully you can often see Koalas in the trees, even the odd kangaroo."
127,2,Crossing the inlet: To get across to the beach you have to wade across about 20 meteres of the inlet which is about 45 cm deep. In summer teh water is quite warm so it is very pleasant.
128,2,"Dirftwood structure: This structure that some have built in the sand dune out of driftwood has been there for a while, hope it lasts a while longer!"
129,2,"Mallacoota beach: On a clear day the beach is beautiful other times it can be rugged and wild, but no less wonderful. This part is only for strong competent swimmers. But watch the surfers!"
130,2,"A walking beach: The beach is certainly great for walking, but can get a bit blowy."
131,2,Patrolled beach: This is the main swimming beach that is patrolled by life savers in the holiday season. Any one for cricket?
132,2,Bastion Point: Rockpools to look at and a good spot for snorkling off teh rocks when the conditions are good.
133,30,Native flowers.: You'll come to a fork in the path. Walk this route as a loop or simply walk along the river till the end and return. Either way there is much to see. We found these feather like flowers. How lovely!
134,2,Beautiful views of the river: There are lots of birds enjoying the river. We saw several different types of birds swimming in the river.
135,0,Duck sanctuary: We saw a mother duck and her young ducklings nestled in a log along the river. A clever nest away from predators and people. She's hard to spot in the photo because we didn't want to get too close!
136,0,Stray fruit bat: We spotted a stray fruit bat in one of the trees. It had clearly fallen behind from the group and was trying to remain hidden from prying eyes. We photographed it from afar so we wouldn't disturb it.
137,44,Still reflections: A lovely view from along the river.
138,0,"Ducks and more birds: Many birds of all sorts can be found near the boat house because they're used to people feeding them, even though feeding birds is harmful (see link)."
139,11,"Barbeque areas: The bbq, tables and seats are under sheltered areas. There is plenty of idyllic picnic spots in shady areas close the river. Great spot for a picnic or gathering."
140,36,Signs: So many options! Take your pick.
141,54,"Popular route: We passed several walkers, including children, a couple with a baby (must be a hardy 4 wheeler pram!) and others using the route for exercise."
142,24,Skate Park : Large skate park ideal for families.
143,53,Jetty : A jetty to admire the scenic surrounds or do a spot of fishing. 
144,11,BBQ facilities : Large undercover BBQ facilities.   
145,13,Cafe by the lake : A cafe overlooking the lake. 
146,53,Bridge: Walk across the bridge and take in the beautiful surroundings.
147,51,Canoe Club: Canoe hire available from Visitor Information Centre.Canoes can accomodate 2 adults. Kayaks also available.
148,47,"Aquamoves: Aquamoves is an aquatic and leisure centre with facilities such as gym, creche sauna, indoor and outdoor pools. "
149,4,All Abilities Playground: A playground suitable for children and families of all abilities.
150,47,"Aquamoves: Aquamoves is an aquatic and leisure centre with gym and areboic facilities, creche, indoor and outdoor pools. "
151,4,Playground: There is a playground for the children to play on. So the whole family can come to the lake and enjoy the scenery.
152,39,Fitness Station: Fitness equipment to help you in your work out.
153,33,dogs off leash area: Area where you can let your dog off the lead. It also has a creek.
154,0,Bird Watching: You can spy on many different varieties of birds in the wetlands.
155,41,Fishing: One of the many good places to fish at the lake.
156,48,Boat Ramp: A place to put your small boat.
157,2,The beach: One of the beaches to relax on or walk along.
158,40,"Cashins Mill: Built in the early 1850s by Hugh Kneen of Fitzroy. After James Cashin Snr died in 1873, the mill was operated by sons James and William."
159,6,"Farmers Market: First Sunday of the month - 8am to 1pm. Bellbird Park (next to Lillydale Lake), Swansea Road, Lilydale."
160,22,Rivers: Be alert for high river levels and fast flowing water which can make the Gorge hazardous.The best walking period lasts from early November until late March.
161,22,Variety of views: The scenic walks take in a range of landscapes.
162,22,Falls: There are three waterfalls along the track.
163,5,"Australian Forest Walk: Features all Australian plants, including sky-high trees and land-dwelling shrubs. "
164,5,Eucalypts : A collection of over 200 eucalypts; Australia's most iconic trees. 
165,21,Lions Head and Separation Trees: These trees are remnants of the River Red Gum and pre-date European settlement. 
166,31,Lower Yarra River Habitat: An ecological collection which contains Indigenous plants native to the Lower Yarra region. 
167,21,Long Island: A garden which is representative of vegetation pre-European settlement and contains many Indigenous plant species.  
168,3,Sidney Myer Music Bowl: Attend the free Wellbeing music concert at the Bowl at 12pm after the walk to celebrate the wellbeing of Aboriginal and Torres Strait Islander people. 
169,31,Smoking Ceremony: Experience a traditional Indigenous Smoking Ceremony in the midst of the ancestral lands of Kulin nation (allocated times).
170,75,"Haven General Store: Haven shop offers drinks, food, papers, a postal service, liquor and petrol. Workers from nearby businesses often drop in and the locals catch up for a chat."
171,18,"Haven Tennis Courts: Haven has teams in the local Tennis competition in both Juniors and Seniors.  Junior ""Slam and Sweat"" tennis sessions are also conducted here along with midweek competitions."
172,18,"Haven Recreation Reserve: Includes the Haven Hall which is used for a variety of groups such as Playgroup, Exercise classes and the Womens circus.  The Haven Market is held here the first Saturday of the month."
173,34,Black Saturday Monument: A monument recognising the Remlaw fire that went through Haven and cuased much damage in February 2009
174,14,"Haven Primary School: Set partly back from the road, this school provides education for a little under 100 students.  The small numbers and intimate setting is appealing to many."
175,20,Tasma Terrace - 2-12 Parliament Place: The terrace is the headquarters of the National Trust. It comprised important boarding houses from the 1870s. Managing a boarding house was one of the few employment options available to early women.
176,1,"the Great Petition sculpture - Burston Reserve : This artwork represents a giant petition with 30,000 signatures offered to the Victorian Parliament in 1891 as evidence of widespread support for equal voting rights for women."
177,8,"Caroline Chisholm Cairn - Burston Reserve: Commemorates the centenary of the death of philanthropist Caroline Chisholm, who served the community by welcoming immigrants and building shelters for travellers to the goldfields at Castlemaine."
178,32,"Women\'s Underground Toilet - Gordon Reserve, near Spring St: The toilet is one of 11 erected by the City of Melbourne between 1902 and 1939. The group is now unique in Australia. "
179,55,"Parliament House - Spring St: Victoria was last to grant women suffrage in 1908.A plaque in the garden honours Vida Goldstein,pioneer suffragist and first woman in the British Empire to stand for election to a national parliament."
180,28,"Windsor Hotel - 111 Spring St: Sitting over the main entrance are 2 classically inspired figures draped in robes. The female statue on the right represents Peace, while the male figure on the left represents Plenty."
181,40,"The Lyceum Club - 9 Ridgeway Place: The Lyceum, the famous professional women's club was a purpose-built place, created by and for women, in Victoria. "
182,55,"Grosvenor Chambers - 9 Collins St: This building was erected specifically as artists' studios. Amongst other women who had a studio here, Jane Sutherland was regarded as the leading woman artist of the Heidelberg School. "
183,40,WCTU Rooms - 15 Collins St: The Women's Christian Temperance Union was the largest and most influential of the various women's organisations in Victoria in the late 1890s.
184,40,"The Melbourne Club - 36 Collins St: Established in 1838, the Melbourne Club is Victoria's oldest institution. Women are excluded from membership of this bastion of conservatism and one of the most exclusive organisations in Victoria."
185,40,"Harley House - corner of Collins & Exhibition St: The National Council of Women, based here for 2 decades effectively lobbied for legislation and representation on all boards and committees relating women and children's welfare and legal rights."
186,40,"Alexandra Club - next to Harley House: Founded in 1903, this is one of Australia's longest established and exclusive clubs for women. Members include Dame Elisabeth Murdoch, community worker and women's rights activist Beryl Beaurepaire."
187,75,Le Louvre - 74 Collins St: Formerly a boutique by Lillian Wrightman promoting high fashion European designers. The boutique played a role in establishing Melbourne as the fashion capital of Australia that it has become today.
188,40,"Nauru House - 80 Collins St : The Australian Conciliation and Arbitration Commission was located here from 1979 - 2006, and women campaigners for equal pay re-enacted the 1969 chain up demonstration at the site on 31 October 1985."
189,7,"St Michael's Uniting Church - corner Collins & Russell St: Women have been part of the congregation since its opening in 1867. The Uniting Church has allowed female ministers who serve in parishes, and some females have been Moderators."
190,3,Flinders Lane: Thousands of women worked in the rag trade and endured poor working conditions such as long hours and low wages. Few buildings of the textile and clothing industries remain. Rosati's is one of them.
191,38,Former women's buildings - Russell St: The city meeting place for many women's reformist groups. WCTU's first headquarters at 28 Russell St was where girls from nearby workrooms could get cheap good meals.
192,7,"Scots Church - corner Russell and Collins St: Dame Nellie Melba sang in the church choir as a child. When she died, the funeral service was held here. Women have been members of the congregation since 1874 but cannot serve as ministers."
193,40,"Assembly Hall - next to Scots Church - 156 -160 Collins St: Used for the Women\'s Parliament, which was conducted on parliamentary lines with a ministry and political parties and provided useful training in public speaking and parliamentary procedure."
194,7,"Theosophical Society - 181 Collins St: Once home to the Theosophical Society. Many women have been members of the society, and have been elected president over the years. The current Theosophical Society building is at 126-28 Russell St."
195,1,"The Atheneaum - 188 Collins St: The talented artist Clarice Beckett had large yearly exhibitions at the Athenaeum from 1924 until 1932. The building\'s facade contains a statue of Minerva, patron goddess of wisdom."
196,40,"Former underground women's toilet - corner Rusell Bourke St: Built in 1902, this was the first such toilet built as a result of the lobbying by many women, including members of the Womens Political and Social Crusade. It is now under the sculpture at the site."
197,40,"Chinatown - Little Bourke St: An early centre for prostitution and poverty, the Salvation Army established a hall in Little Bourke Street to do battle for the souls of prostitutes and larrikins in the 19th century."
198,38,"Queen Victoria Hospital - 210 Lonsdale St: One of only 3 hospitals in the world to be founded, managed and staffed by women. It was Australia\'s first female medical service, established by Australia\'s first female doctor in 1896."
199,1,"State Library - 328 Swanston St: Helen Garner wrote her well-known novel 'Monkey Grip' at the library. In the forecourt is the statue of Joan of Arc, the national 15th century heroine of France and saint of the Roman Catholic Church."
200,38,"Storey Hall - 344-46 Swanston St: Various women's organisations rented the premises, including the Women's Peace Army associated with Vida Goldstein. Purple and green are colours of the Irish and early feminists who once occupied it."
201,40,"Women's Liberation Office - 16 Little La Trobe St: Feminists from the Women's Liberation Movement Centre produced a newspaper Vashti's Voice, which promoted women's rights such as equal pay and abortion. "
202,38,"Welsh Church - 320 La Trobe St: The first free dispensary for women in 1896 was set up here. In the first 3 months the clinic treated 2,000 women and children. This led to the establishment of the Queen Victoria Hospital. "
203,28,"YWCA's Jasper Hotel - 489 Elizabeth St: Established in 1882, the organisation provides housing services, job placement and mentoring for many women. Inside is a plaque acknowledging Alice Henry, pioneer journalist and unionist."
204,14,"Emily McPherson College (now RMIT) - 379-405 Russell St: Established to improve the domestic skills of women at a time when there was a push for 'scientific' mothering education, also when a young woman's access to secondary education was limited."
205,38,"Old Melbourne Gaol - 377 Russell St: Ned Kelly's mother, Ellen, was a prisoner in the women's cell block when Ned was hanged in 1880. She was in trouble for aiding and abetting Ned and charged with attempted murder."
206,38,"City Watch House - next to the former Magistrates Court: The first prisoner here was Beatrice Phillips, who was charged with indecent language. The National Council of Women and WCTU successfully lobbied to improve some conditions for female prisoners."
207,38,Magistrates Court - corner La Trobe and Russell St: Jennie Baines was sentenced to 6 months' jail for repeated violations of the War Precautions Act in 1919 for flying red flags. She went on a hunger strike and was released after 4 days.
208,38,"Green Latrine - corner Spring and LaTrobe St: On 21 October 1969 Zelda D'Aprano, a feminist crusader chained herself to the Commonwealth Building (known as the 'Green Latrine', now demolished) until she was cut free by the Commonwealth police."
