,topic,document
49,60,"Law Court (LH of Ave): Opened by rt Hulls, ’ Attorney General, on Nov . Thi complex wa built on the site that n as Washington Stores, before becoming Maples, before it all went up in flame in"
50,8,"Avenue (LH of Ave): Once the site of the Shire Offices, beginning as a modest, timber, two roomed building before the current building wa erected in . In , the Shire Office were relocated to Irymple."
51,8,"Centre - Home to the Historical and Genealogical Society (LH of Ave): Constructed in , as the Library, courtesy of a pound made by Andrew , in , after a request from Lord Hopetoun. The tower wa added in as a soldier memorial."
52,8,"Civic Building (LH of Ave): The Civic Buildings, opened in and it’ also the site of the original Shire , also known as the Town ."
53,10,"Statue of W.B. (in center plantation): In the center plantation is a statue of W.B. , who died in . The Paul Mountford sculpture wa unveiled in . A sir sculpture can be found in , SA."
54,10,"Rotunda (in center plantation): The centre plantation is home to the Rotunda, named for Cr George , former Shire President, who died whilst in office in ."
55,8,"Ave - ' earliest surviving building (RH of Ave): On the RH of Ave is the earliest surviving building in . It started out as ’ first general store, owned by H.B , in . A bank altered the building appearance in ."
56,8,"Ave (RH of Ave): Built in , thi Edian building ha been a restaurant, a bank, a real estate agency and other businesses, which although altered over the rs, still retain some of it original charm."
57,8,"Club (RH of Ave): The ""Gentlemen' Club"" n in with Lord Ranfurly as the first President. Meeting were originally held at the Coffee Palace, until thi building wa completed in ."
58,11,"Cinema Complex (RH of Ave): The Cinema complex wa established in . A point of interest is that the cinema include the original site of the Masonic Temple, built in , with the façade still remaining."
59,8,"Workingman Club (LH of Ave): An iconic landmark, once famou for having the world’ longest bar (which wa removed in recent vations.). Begun in , it wa originally a story structure with a nd level added in ."
60,10,"Workingman Club War Memorial (LH of Ave): Ha stood at the front of the club, since , honoring ’ war dead. The marble soldier is the work of A.D Thomson and the three-sided list of soldiers’ name underpin the heavy loss of WW"
61,13,"Methodist Church (LH of Ave): Opened in , thi unique church had a number of architectural infnces, including Byzantine, Queen Anne, Masonic and Art Nouveau . Image: Methodist Church under construction ."
62,13,"The Church of Christ (RH of Ave): Built in , the Church of Christ wa first organised by Reuben Mansell in and member met in a variety of venue until thi building wa completed using all voluntary labour."
63,10,War Memorial (centre plantation): Commemorate those who died or were killed in World War One. Erected by the Branch R. S. & S. I. L. A.
64,13,"Uniting Church / St Andrew’ (RH of Ave): The Uniting Church, known as St Andrew’s, started out as a Presbyterian church and wa built in , at a cost of pounds. It replaced a wooden structure that had been there since ."
65,13,"St Margaret’ Anglican Church (LSH of Ave): Thi church opened in , with the addition of the sanctuary in and the vestry and bell tower in that honour the lost soldier of World War II."
66,8,"Madden Avenue : Madden Ave wa originally planned to be the principal retail district of due to easy acces to the wharf. However, Langtree, with it’ proximity to the railway proved to be more significant"
67,10,"RSL Sub Branch: The Returned and Service League with some Sub Branch ia wide and with a membership of , is the largest service association in ia."
68,37,"Water Tower: As you cros over th street, to ymy right you will see one of ' Water Towers. Built in , the tower provide water pressure for thousand of home acros the urban area."
69,32,"Mecure Hotel : Commercial Hotel, commonly remembered as the Wintersun and now the Mecure Hotel wa built in"
70,37,"Disused water tower: Behind the hotel is a disused water tower, which from until operated as ’ sole source of water storage. Instigated by the former First Irrigation Trust. litre capa"
71,25,Under the Cs: ' well known and iconic meeting place is under the cs at Street Station. Sit on the step and see the world go by.
72,51,"Mirka Mora mosaic: Mirka Mora made thi mosaic in about , it is brilliant. Do not be one of the thousand who walk past it every day without stopping."
73,36,"To Marr: The slope down to Marr, alway fill with expectation. The sculpture of hundred of red pole is a cracker. Go up and push the pole firmly, what a noise!"
74,23,"Square: There alway seem to be something happening at Fed Square whether it is concerts, buskers, festival or person lolling about. The paver are great to sit on on a sunny afternoon."
75,11,The Art Centre from Fed Square: Looking over to the Art Centre spire from Fed Square.
76,6,"Marr playground: The playground is alway open. Watch kid play and enjoy the tube slides, sand pits, swinging hammocks, activity panels, rock and rope climbing feature and balance beams."
77,6,Art Play: Art Play is a great place for child it ha lot of show and creative activity for kids.
78,51,"Mosaic outside art play: I do not know what the story is behind thi coloured mosaic outside Art Play, but it is wonderful."
79,16,"Textured path: The wng, textured pathway of cast iron acknowledge the significance of the eel as a tradil food source for group camped by the river."
80,71,Watching rower from Marr: Sit on the seat under a shady tree watching rower go by.
81,4,To Prince Bridge: The gravel path on the river bank is a bit quieter. More seat and looking back to Princes Bridge.
82,34,West along the river: From 'Angel's you can get a good look along the River
83,20,"Angel: Angel (ceramic, steel and concrete) by Dah Halpern is an artwork commissioned by the Nal Gallery of . It is even more impressive than the photo suggests."
84,6,hill for rolling: There should be more hill like thi one in the centre of cities. Watch the number of kid who are immately drawn to it and roll down laughing.
85,4,Walking up the slope to the bridge: The tree and shrub set in the stone fence as you walk up the slope to the William k bridge.
86,4,"William k bridge: A purpose built walking (and cycling) space, William k bridge is one of true de of . Beautiful and funcl."
87,4,"Listening to Proximities: Proximity is a public art installation commissioned for the Commonwealth Games. The story and song from Commonwealth nation come out of the many, many sr acros the bridge."
88,46,Sit and watch : Sit on the bridge and look south to the and Tenni Centre or north to the and listen to the train go by under.
89,4,Off the bridge to the 'G': Coming off the bridge and walk to the MCG under the shade of magnificent old Elm trees.
90,28,"The MCG: The MCG, what a collosseum. You 't realise how massive it is until you actually see it. Even if you 't like sport, the sound of the crowd cheering will grab ymy attention."
91,28,"Denni Lillee: Bronze statue do around the MCG, none more impressive than the great Denni Lillee."
92,46,Aussie Rules: Statue commemorating the first game of ian Rule Football said to be played nearby on August .
93,65,Station: It a beautiful the old train bridge. Catch a train (or tram) back to St or keep going.
94,8,"Watt' Cottage: Home to early settler in Sorrento, thi h wa built in . The Pioneer Memorial Garden is well tended with bloom all r round. Tour available (at limited times)."
95,3,"Information board and cafe: Check out the information board here for detail about the history, local environment and feature of the area. All S Cafe located a walk away from here."
96,2,"Surf' up: A good spot to watch the surf, have a picnic, go for a swim, read a book or do whatever you please."
97,19,Uphill climb to the top: Definitely a steep climb uphill but the scenery from the top is very worthwhile. Get ymy heart rate up!
98,12,"Panoramic views: A perfect spot to watch the , or simply enjoy the sweeping panoramic views."
99,2,"Heading down to the beach: Follow the track, which will eventually take you to the beach."
100,2,Fine : Enjoy the salty sea breeze as you feel the sand under ymy foot on thi beautiful stretch of coastline.
101,31,Surf Lifesaving Club: You can take a detmy here if you need a toilet stop.
102,2,'Lon Bridge': A great spot to explore pool and wander under the 'Lon Bridge's (but not ng high tide of course). You can continue along the beach all the way to Point Nepean if you like.
103,31,Public toilet and drinking : Phew! It' a pretty steep ramp that lead you up here. A convenient toilet stop and a chance to top up ymy water bottle before heading off again.
104,0,Start of ' Folly Track: There' a sign a near the car park marking the start of the track. Apparently Capt R simply lit a match wherever he thought the bush needed to be cleared for the army\' weapon training areas.
105,1,Looking out to the sea: Listen out for the twitter of small bird in thi fabulou bit of coastal bushland overlooking the sea.
106,70,"Unexploded bombs: A former weapon training area. ""All large unexploded ordinance ha been removed but you may come acros small arm such as rifle and pistol shells,"" which of course, you shouldn't touch."
107,31,Point Nepean Visitor Centre: The visitor centre ha plenty of local information and map of the area. You can take a tmy to the historical Fort Nepean (a buggy can transport you there). Public toilet and BBQ available here.
108,2,Mighty high fences: You can take a detmy down to the beach vium Cove Ave. Clearly resident here like their prus but it' such a shame that the street is marred by these enormously high wall and fences.
109,45,"Nature strip plantings: Thankfully, there are patch of wonderful plant to enjoy as you walk down the street."
110,22,A little bit arty: ... and even a bit of art to give some of these high wall a little bit of character.
111,12,On the other side: Acros the road are a row of charming cottage that remind u of how the area used to look before the high wall and fence came along.
112,21,"Bu stop: You can catch bu number back to Sorrento, or all the way back to along point Nepean Road."
113,27,Boardwalk near fishing platforms: The boardwalk start along the path just past the carpark on Drive. A few fishing platform go off the boardwalk.
114,14,"Wetlands: The inlet is on one side of the boardwalk and wetland on the other, both have an abundance of birdlife and aquatic life."
115,0,The shared path: The shared path is very popular with walker and bike rider alike and is in pretty good cion.
116,1,Pelican and piers: There are many little jetty dotted along the path and it is hard not to spot a pelican or two perched on many of them.
117,27,Raised boardwalks: The wonderful raised boardwalk provide a shady spot to look out to the inlet.
118,42,"harbour: Old and new, big and small boat (but nothing too flash!) in the harbour."
119,2,Coull' Inlet: Coull' Inlet is beautiful on a still early morning.
120,35,"Fishing spot: One of the many fishing spot along the walk. Even if you are not into fishing, it' fun to watch early morning anglers."
121,1,"Goat & other nds: Beautiful view abound on the walk. , Rabbit nd and more..."
122,35,"d boats: Over the summer, many camping ground visitor more therus boat along the shore. Boat for fishing, water skiing, bird watching or pleasure...."
123,21,"Foreshore Holiday Park: The next part of the walk go through the council caravan park, in summer there is alway something to look at."
124,12,"To Capt. Sson' Point: If you want, you can take a detmy off the path and follow the water to Capt. Sson' Point (or stay on the path up above)."
125,2,Capt. Sson' Point: A great spot to look up the inlet or to the mouth (and watch boat go out to sea). You can even see Gabo nd from here.
126,17,"Koalas: If you look carefully you can often see Koala in the trees, even the odd kan."
127,2,Cng the inlet: To get acros to the beach you have to wade acros about metere of the inlet which is about cm p. In summer teh water is quite warm so it is very pleasant.
128,2,"Dirftwood structure: Thi structure that some have built in the sand dune out of driftwood ha been there for a while, hope it last a while longer!"
129,2,"beach: On a clear day the beach is beautiful other time it can be rugged and wild, but no les wonderful. Thi part is only for strong competent swimmers. But watch the surfers!"
130,2,"A walking beach: The beach is certainly great for walking, but can get a bit blowy."
131,2,Patrolled beach: Thi is the main swimming beach that is patrolled by life saver in the holiday season. Any one for cricket?
132,38,Bastion Point: Rockpool to look at and a good spot for snorkling off teh rock when the cion are good.
133,54,Native flowers.: You'll come to a fork in the path. Walk thi route as a loop or simply walk along the river till the end and return. Either way there is much to see. We found these feather like flowers. How lovely!
134,1,Beautiful view of the river: There are lot of bird enjoying the river. We saw several different type of bird swimming in the river.
135,1,Duck sanctuary: We saw a mother duck and her duckling nestled in a log along the river. A r nest away from predator and people. She' hard to spot in the photo because we didn't want to get too close!
136,0,Stray fruit bat: We spotted a stray fruit bat in one of the trees. It had clearly fallen behind from the group and wa trying to remain hidden from prying eyes. We photographed it from afar so we wouldn't disturb it.
137,34,Still reflections: A lovely view from along the river.
138,1,"Duck and more birds: Many bird of all sort can be found near the boat h because they're used to person feng them, even though feng bird is harmful (see link)."
139,15,"Barbeque areas: The bbq, table and seat are under sheltered areas. There is plenty of idyllic picnic spot in shady area close the river. Great spot for a picnic or gathering."
140,18,Signs: So many options! Take ymy pick.
141,0,"Popular route: We passed several walkers, including children, a couple with a baby (must be a wheeler pram!) and other using the route for exercise."
142,28,Skate Park : Large skate park ideal for families.
143,63,Jetty : A jetty to admire the scenic surround or do a spot of fishing.
144,15,BBQ facility : Large undercover BBQ facilities.
145,3,Cafe by the lake : A cafe overlooking the lake.
146,4,Bridge: Walk acros the bridge and take in the beautiful surroundings.
147,42,Canoe Club: Canoe hire available from Visitor Information Centre.Cano can accomodate adults. Kayak also available.
148,50,"Aquamoves: Aquamove is an aquatic and leisure centre with facility such as gym, creche sauna, indoor and outdoor pools."
149,6,All Ability Playground: A playground suitable for child and family of all abilities.
150,50,"Aquamoves: Aquamove is an aquatic and leisure centre with gym and areboic facilities, creche, indoor and outdoor pools."
151,6,Playground: There is a playground for the child to play on. So the whole family can come to the lake and enjoy the scenery.
152,41,Fitnes Station: Fitnes equipment to help you in ymy work out.
153,36,dog off leash area: Area where you can let ymy dog off the lead. It also ha a creek.
154,1,Bird Watching: You can spy on many different variety of bird in the wetlands.
155,35,Fishing: One of the many good place to fish at the lake.
156,42,Boat Ramp: A place to put ymy small boat.
157,2,The beach: One of the beach to relax on or walk along.
158,10,"Cashin Mill: Built in the early s by Kneen of Fitzroy. After Jame Cashin Snr died in , the mill wa operated by son Jame and William."
159,3,"Farmer Market: First Sunday of the month - am to pm. Park (next to Lilly Lake), sea Road, Lily."
160,30,Rivers: Be alert for high river level and fast flowing water which can make the Gorge hazardous.The best walking period last from early November until late .
161,12,Variety of views: The scenic walk take in a range of landscapes.
162,30,Falls: There are three s along the track.
163,5,"ian Walk: Feature all ian plants, including sky-high tree and land-dwelling shrubs."
164,5,Eucalypt : A collection of over eucalypts; ia' most iconic trees.
165,24,Lion Head and Setion Trees: These tree are remnant of the River Red Gum and pre-date European settlement.
166,45,Lower River Habitat: An ecological collection which contain genou plant native to the Lower region.
167,45,Long nd: A garden which is representative of vegetation pre-European settlement and contain many genou plant species.
168,57,Sidney Myer Music Bowl: Attend the free Wellbeing music concert at the Bowl at pm after the walk to celebrate the wellbeing of Aboriginal and er people.
169,45,Smoking Ceremony: Experience a tradil genou Smoking Ceremony in the midst of the ancestral land of nation (allocated times).
170,3,"General Store: shop offer drinks, food, papers, a postal service, liquor and petrol. Worker from nearby business often drop in and the local catch up for a chat."
171,46,"Tenni Courts: ha team in the local Tenni competition in both Junior and s. Junior ""Slam and Sweat"" tenni session are also conducted here along with midweek competitions."
172,72,"Recreation Reserve: Include the which is used for a variety of group such as Playgroup, Exercise class and the Women circus. The Market is held here the first Saturday of the month."
173,5,Black Saturday Monument: A monument recognising the Remlaw fire that went through and cuased much damage in February
174,48,"Primary School: Set partly back from the road, thi school provide education for a little under students. The small number and intimate setting is appealing to many."
175,8,Tasma Terrace - - Parliament Place: The terrace is quarters of the Nal Trust. It comprised important bo h from the s. Managing a bo h wa one of the few employment option available to early women.
176,47,"the Great Petition sculpture - Burston Reserve : Thi artwork represent a giant petition with , signature offered to the n Parliament in as evidence of widespread support for equal voting right for women."
177,10,"Chisholm Cairn - Burston Reserve: Commemorate the centenary of the death of philanthropist Chisholm, who served the community by welcoming immi and building shelter for traveller to the at ."
178,32,"Women\' Underground Toilet - Gor Reserve, near Spring St: The toilet is one of erected by the of between and . The group is now unique in ia."
179,7,"Parliament H - Spring St: wa last to woman suffrage in .A plaque in the garden honour Vida Goldstein,pioneer suffragist and first woman in the British Empire to stand for election to a nal parliament."
180,66,"Windsor Hotel - Spring St: Sitting over the main entrance are classically inspired figure draped in s. The female statue on the right represent Peace, while the male figure on the left represent Plenty."
181,47,"The Lyceum Club - Place: The Lyceum, the famou professl women' club wa a purpose-built place, created by and for women, in ."
182,47,"Ch - St: Thi building wa erected specifically as artist's studios. Amongst other woman who had a studio here, Jane Sutherland wa regarded as the leading woman artist of the School."
183,47,WCTU Room - St: The Women' Christian rance Union wa the largest and most infntial of the variou women' organisation in in the late s.
184,47,"The Club - St: Established in , the Club is ' oldest institution. Woman are excluded from membership of thi bastion of conservatism and one of the most exclusive organisation in ."
185,60,"Harley H - corner of & Exhibition St: The Nal Council of Women, based here for decade effectively lobbied for legtion and representation on all board and committee relating woman and children' welfare and legal rights."
186,47,"Alexandra Club - next to Harley H: Founded in , thi is one of ia' longest established and exclusive club for women. Member include Dame Elisabeth , community worker and women' right activist Beaurepaire."
187,11,Le Louvre - St: Formerly a boutique by Lillian man promoting high fashion European designers. The boutique played a role in establishing as the fashion capital of ia that it ha become today.
188,47,"Nauru H - St : The ian Conciliation and Arbitration Commission wa located here from - , and woman campaigner for equal pay re-enacted the chain up detration at the site on October ."
189,13,"St Michael' Uniting Church - corner & St: Woman have been part of the congregation since it opening in . The Uniting Church ha allowed female minister who serve in parishes, and some female have been Moderators."
190,22,Lane: Thousand of woman worked in the rag trade and endured poor working cion such as long hour and low wages. Few building of the textile and clothing industry remain. Rosati' is one of them.
191,47,Former women' building - St: The meeting place for many women' reformist groups. WCTU' first headquarters at St wa where girl from nearby workroom could get cheap good meals.
192,13,"Scot Church - corner and St: Dame Nellie sang in the church choir as a child. When she died, the funeral service wa held here. Woman have been member of the congregation since but cannot serve as ministers."
193,13,"Assembly - next to Scot Church - - St: Used for the Women\' Parliament, which wa conducted on parliamentary line with a ministry and political party and provided useful training in public speaking and parliamentary procedure."
194,8,"Theosophical Society - St: Once home to the Theosophical Society. Many woman have been member of the society, and have been elected president over the rs. The current Theosophical Society building is at - St."
195,11,"The Atheneaum - St: The talented artist Clarice Beckett had large rly exhibition at the Athenaeum from until . The building\' facade contain a statue of , patron goddes of wisdom."
196,31,"Former underground women' toilet - corner ll St: Built in , thi wa the first such toilet built as a result of the lobbying by many women, including member of the Women Political and Social Crusade. It is now under the sculpture at the site."
197,32,"Chinatown - Little St: An early centre for prostitution and poverty, the Stion Army established a in Little Street to do battle for the soul of prostitute and larrikin in the th century."
198,47,"Queen Hospital - St: One of only hospital in the world to be founded, managed and staffed by women. It wa ia\' first female mcal service, established by ia\' first female doctor in ."
199,13,"State Library - ston St: Helen Garner wrote her well-known novel 'Monkey Grip's at the library. In the forecourt is the statue of Joan of Arc, the nal th century heroine of France and saint of the n Cic Church."
200,47,"Storey - - ston St: Variou women' organisation rented the premises, including the Women' Peace Army associated with Vida Goldstein. Purple and green are colour of the Irish and early feminist who once occupied it."
201,47,"Women' Liion Office - Little La T St: Feminist from the Women' Liion Movement Centre produced a newspaper Vashti' Voice, which promoted women' right such as equal pay and abortion."
202,47,"Welsh Church - La T St: The first free dispensary for woman in wa set up here. In the first month the clinic treated , woman and children. Thi led to the establishment of the Queen Hospital."
203,32,"YWCA' Jasper Hotel - St: Established in , the organisation provide housing services, job placement and mentoring for many women. Inside is a plaque acknowledging Henry, pioneer journalist and unionist."
204,56,"Emily McPherson College (now RMIT) - - St: Established to improve the domestic skill of woman at a time when there wa a push for 'scientific's mothering education, also when a woman' acces to secondary education wa limited."
205,60,"Old Gaol - St: Ned ' mother, Ellen, wa a prisoner in the women' cell b when Ned wa hanged in . She wa in trouble for aiding and abetting Ned and charged with attempted murder."
206,60,"Watch H - next to the former Magistrate Court: The first prisoner here wa s, who wa charged with indecent language. The Nal Council of Woman and WCTU fully lobbied to improve some cion for female prisoners."
207,60,Magistrate Court - corner La T and St: Jennie wa sentenced to month's jail for repeated violation of the War Precaution Act in for flying red flags. She went on a hunger strike and wa released after days.
208,8,"Green Latrine - corner Spring and LaT St: On October Zelda D'Aprano, a feminist crusader chained herself to the Commonwealth Building (known as the 'Green Latrine', now demolished) until she wa cut free by the Commonwealth police."
209,11,"Princes Theatre - Spring St: Many famou actress have performed at the theatre, including Nellie Stewart, Sibyl Tdike, Marlene Dietrich and Marina Prior. Nellie Stewart, who starred in the first performance of 'The Mikado'."
210,3,Visitor centre and restaurant: We start the walk from the visitor centre that overlook Jell lake. The restaurant is open every day except Christmas Day.
211,33,Wattle in bloom: As soon as you start down to the lake you will notice some wonderful native flora to ymy right.
212,1,Pacific Black Duck: Around the lake there is abundant bird life including the versatile Pacific Black Duck. It frequent all type of water and is found in all but the most arid region of ia.
213,1,"Eurasian Coot: The Eurasian Coot is easy to find. It an omnivore, and will take a variety of small live prey including the egg of other water birds, as well as algae, vegetation, seed and fruit."
214,68,A stroll in the park: The path s along the edge of open parkland before heading into the conservation area.
215,51,"By ide: When you are near the lake listen out for some of the thousand of frog that live here. They do not drink water, and instead absorb it through their skin."
216,1,Chestnut Teal: When you are cng the creek you might spot a Chestnut Teal looking for lunch. A male teal is pictured here agitating the sow water ..
217,1,Chestnut Teal Upended: .. before upending to bottom feed underwater.
218,14,"Wetlands: The wetland act as filters, sponge and reserve of water. Though only % of is wetland area, it support % of my endangered plant and is home to mammals, frogs, fish and insects."
219,1,Nesting Boxes: Hollow in old tree are home to many native birds. As there are not enough hollow for all the native species that utilise the nesting box dotted around the park.
220,43,"The conservation area: The conservation area immerse you in native flora, while you are serenaded by the varied song of the birdlife it supports."
221,1,Bird Hide: The bird hide provide a great opportunity to watch the birdlife. The hide ha an information board with picture and description of some of the birdlife you may see. Bring ymy binoculars!
222,1,"Purple Swamphen: The park is home to a sizeable population of the beautiful Purple Swamphen. The male ha an elaborate courtship display, holding water weed in hi bill and bowing to the female with loud chuckles!"
223,30,Enjoy the scenery of the park: Can you hear the peace and quiet? Thi stretch is great for spotting bird and listening to their songs.
224,6,"Civic Park: Civic Park is set in a small valley, with a pond, , rotunda, playground and public toilets. The park also include the 'Path of Achievement'."
225,0,Direcl signage: Direcl signage is displayed along the trail to provide distance and ation.
226,36,"Pause places: Pause places, like thi one in the wetlands, include recycled-plastic seating, rubbish bin and bike racks."
227,14,Wetlands: Wetland have been established through thi part of the walk and the Landcare Group have planted hundred of native tree to increase biodiversity and improve water quality and amenity.
228,27,Boardwalk: After cng road you will come to an elevated boardwalk over a creek and view acros green paddocks.
229,19,"View, Mt , Mt Worth, Ranges.: There are lovely view from a number of vantage point along the trail including s to Mt , Mt Worth and the Ranges."
230,51,Mosaics: Local artist created mosaic which have been set into each of the pause place along the trail.
231,10,"s Track Cenotaph: Here a memorial is located in recognition to William , the first Chairman of Country Road Board, for hi outstanding contribution to  road network."
232,19,Pause places: Another pause place to enjoy the view of the surrounding farm and mountain ranges.
233,51,"genou history: A number of interpretive sign explain the local genou history, creation story and artwork of the Gunaikurnai, one of the Aboriginal nation of ia."
234,28,Western Park BMX track: The trail wind past the Western Park BMX track where you can try out the track or watch the local on the berms.
235,6,"Rotary Park: Rotary Park is located on Street in gul where you will find a kid playground, outdoor gym equipment, public toilets, rotunda with picnic facilities, drinking , and Hazel Creek."
236,51,gul Gateway Entrance: The entrance of the trail will soon be marked by a large and significant piece of artwork which pay homage to local threatened species
237,52,Shire Council: Thi walk is proudly brought to you by Shire Council.
238,9,"Visitor Area: A spot for all the family to gather and play! Picnic, BBQ, go sailing and swimming, or head off for a leisurely walk around the whole lake."
239,2,Beach and swimming area: Thi end of the lake is a designated swimming beach. The dam wall is in the background.
240,2,"Boat Beach: Sail boat launch from here, a lovely sight on ymy walk along thi beach."
