,Topic,Count,Name,Representation,Representative_Docs
20,19,42,19_boat_ramp_marina_ship,"['boat', 'ramp', 'marina', 'ship', 'yacht', 'altona', 'rowing', 'paddlesteamer', 'canoe', 'te']","['  Marina: Enjoy the view of luxury yachts and small hire boats at   Marina. Guest ships such as the Sea Shepherd dock here for public viewing. Take the time to sit and enjoy the waterfront.', 'te Ship: This play area is great. A safe space that lets the imagination run wild. Grab your eye patch and perch a bird on your shoulder and see what adventure you end up on', 'te Ship: This play area is great. A safe space that lets the imagination run wild. Grab your eye patch and perch a bird on your shoulder and see what adventure you end up on']"
21,20,39,20_falls_creek_sandy_wilks,"['falls', 'creek', 'sandy', 'wilks', 'mullum', 'cyathea', 'cascades', 'keppel', 'flow', 'toomuc']","['Stunning : The Taggarty Cascades is an impressive site! Such a steady flow of clear gushing water tumbling over the granite s and down into the rain below.', 'M Farm (across the creek): Across the creek is M Farm. A popular spot for saying hello to farm animals, learning from the farmers, having a bite to eat and even taking a train ride around the property. Admission fees apply.', 'Ringwood Lake: Continue easterly along  Highway, pause at Ringwood Lake, created in 1926 by the damming of Sandy Creek which used to follow the line of the gully and flow into Mullum Mullum Creek.']"
22,21,39,21_river_wimmera_rivers_rises,"['river', 'wimmera', 'rivers', 'rises', 'enters', 'overlooking', '196164', 'dull', 'mcec', 'howson']","['Flood Markers: These cate three of \x9ds largest floods, in 1909, 1981 and more recently 2011.  The second is an cation of the water height of the 1909 flood if the river beautification was effective.', '""Wimmera River Burnt Creek Meeting Place"" 2007: The sculpture takes the form of a seating arrangement.  The work uses stone mosaic to depict the intersection of the Wimmera River and Burnt Creek as a meeting place of the 5 tradil owner groups.', '""Aerial"" 2009: The metal sculptural mural ""Aerial"" depicts aspects of the Wimmera\'s unique landscape; a ravens eye view of the area made in conjunction with students of McKenzie  Creek campus of  College.']"
23,22,38,22_shops_store_shopping_shillidays,"['shops', 'store', 'shopping', 'shillidays', 'general', 'shop', 'preston', 'clothes', 'strath', 'fashion']","[' Shopping Centre: Opened in 1973 The  Shopping Centre has a range of  shops, supermarkets, major , Centrelink, Mcare, Jobservice agencies and specialty food stores including Halal and Asian grocers', "" General Store & Meikle's Pub: The store has gourmet breakfast and lunch, fine produce, handmade craft and a few everyday supplies. It doubles as a post office. The pub next door opens for dinner, offering fine tucker and wine."", ""Vacant shops: What I 't like in our area is the abned shopping strip. Probably unable to compete with nearby Northland, all the shops have closed except for the lonely milk bar.""]"
24,23,37,23_bbq_covered_picnic_barbe,"['bbq', 'covered', 'picnic', 'barbe', 'areas', 'cover', 'shelter', 'bbqs', 'facilities', 'ample']","['BBQ and covered picnic area: This is a great spot near the playground for a BBQ or picnic with plenty of shade', 'BBQ Area: An electric BBQ is kept clean and is situated with water, picnic tables, under cover & concrete flooring. There is plenty of tables and more not shown so many people could be accommodated at the BBQ.', 'Covered BBQ area: After a long walk, catch your breath over a BBQ lunch or have a rest in the shade. We spotted two studious locals studying outdoors the day we visited. Great idea!']"
25,24,36,24_mount_valley_zero_topograph,"['mount', 'valley', 'zero', 'topograph', 'panoramic', 'mt', 'views', 'trap', 'puffalo', 'top']","['Wales Quarry litter trap: A unique purpose built litter trap (built by Nick from CERES) that looks like a sculpture when not in use. Link below is to videos of it in action that were taken on a school excursion.', ""Mount Cooper scenery view: A very nice distant outlook from the top of . A lot can be seen from here. It's 137 meters above sea level- the highest point in 's metro area."", 'View of Mt Little Jo: Through breaks in the trees you can see the other side of the Upper  Valley. As a 2 time Oxfam trail walker, the sight of Mt Little Jo brings back mixed memories - tiredness, awe, instion!']"
26,25,36,25_picnic_table_picnics_austin,"['picnic', 'table', 'picnics', 'austin', 'tables', 'cover', 'bulga', 'shelters', 'kept', 'benches']","['Picnic spot (under cover): There is a picnic pot under cover with good seating in the middle parking section of the street. This seating is easily found almost opposite the front of the Hotel', 'churchill nal park: Main picnic area: this popular picnic area was created in the late 1970s, with shelters, toilets, and powered barbes. It is sometimes crowded on weekends, but much  quieter on week days', 'Planning a picnic?: Whether you eat first and then walk, or reflect on what you’ve seen over a tasty meal after you’ve discovered this beautiful reserve, the facilities are kept clean and comfortable.']"
27,26,34,26_gum_gums_gumtree_flowering,"['gum', 'gums', 'gumtree', 'flowering', 'brushes', 'red', 'trees', 'magnificent', 'greet', 'bottle']","['Felled gums: Even when felled, the beauty of these gums remain. Some of the fellings will be accidental and caused by the weather, others will be delie clearing efforts.', 'Beautiful Bushland: There are four major vegetation communities within Yellow Gum Park. They include  woodland, escarpment woodland, box ironbark woodland and riparian woodland.', 'The Special Tree: This magnificent River Red Gum would be at least 500 rs old. It sits on a bend of the creek, on a rocky escarpment, above a pool in remnant grassland and it is the most magical place here.']"
28,27,34,27_cng_trucks_careful_busy,"['cng', 'trucks', 'careful', 'busy', 'semi', 'cars', 'highway', 'road', 'trailer', 'traffic']","['Watch out for semi trailer grain trucks when cng this highway: This walk crosses a busy highway that has two sete lanes divided by a centre man area and can make visibility an issue.', 'Watch out for semi trailer grain trucks when cng this highway: This walk crosses a busy highway that has two sete lanes divided by a centre man area and can make visibility an issue.', 'Watch out for semi trailer grain trucks when cng this highway: This walk crosses a busy highway that has two sete lanes divided by a centre man area and can make visibility an issue.  There has been fatalities in the main street before so please take care.']"
29,28,34,28_boardwalk_boardwalks_allows_wet,"['boardwalk', 'boardwalks', 'allows', 'wet', 'ish', 'slipways', 'feet', 'relatively', 'jawbone', 'schnapper']","['Boardwalks: This trail includes a fantastic boardwalk pathway through  s. In 1939, a bushfire rushed through The Beauty Spot and destroyed these very same s, along with a popular tourist spot.', 'The Boardwalk: The boardwalk allows you to get up close and personal with the wetlands, birds and enjoy the views while forgetting there are busy streets and residential areas in close vacinity.', 'Boardwalk: A boardwalk allows the waker to keep their feet dry while giving the opportunity to explore parts of the wet heathland that would otherwise be hard to access.']"
30,29,33,29_skate_bmx_incrbly_newport,"['skate', 'bmx', 'incrbly', 'newport', 'bigger', 'jumps', 'scooters', 'facility', 'skaters', 'ramp']","['Skate Park: There is a skate park here that is incrbly popular and it looks like bigger and better things are on their way! ', 'Skate Park: There is a skate park here that is incrbly popular and it looks like bigger and better things are on their way! ', 'Skate Park: There is a skate park here that is incrbly popular and it looks like bigger and better things are on their way!']"
31,30,32,30_flowers_flower_firewheel_pink,"['flowers', 'flower', 'firewheel', 'pink', 'rounded', 'scientists', 'cte', 'spring', 'bloom', 'change']","[' Flame Tree: An iconic ian tree which flowers in spring. Scientists think that these trees and others might flower earlier due to cte change, so please record what you see.', ' Flame Tree: An iconic ian tree which flowers in spring. Scientists think that these trees and others might flower earlier due to cte change, so please record what you see.', ' Flame Tree: An iconic ian tree which flowers in spring. Scientists think that these trees and others might flower earlier due to cte change, so please record what you see.']"
32,31,31,31_ducks_pelicans_duck_pacific,"['ducks', 'pelicans', 'duck', 'pacific', 'ducklings', 'pelican', 'black', 'seagull', 'waterbirds', 'bread']","[""Feng the ducks - tempting, but discged: Ducks love bread, but it's not good for them - while you might not be feng them much, please consider that you may be the tenth visitor today."", 'Pacific Black Duck: Around the lake there is abundant bird life including the versatile Pacific Black Duck. It frequents all types of water and is found in all but the most arid regions of ia.', ""'t feed the birds: Contrary to popular opinion, it's not healthy for ducks and birds to eat bread. This can lead to poor health, loss of hunting and foraging skills, and dependence on humans. See link below.""]"
33,32,30,32_tennis_courts_netball_basketball,"['tennis', 'courts', 'netball', 'basketball', 'cricket', 'wanting', 'tucked', 'football', 'anyone', 'tournaments']","['Liberty Avenue tennis and basketball courts: Enjoy a game of tennis or basketball at the public courts located at Liberty Avenue Reserve.   Council provides a wide range of leisure and recreation facilities and programs.', ' Recreation Reserve: Sporting facilities include football and cricket ground, netball courts, bowling greens, golf course, tennis courts, skate park, swimming pool and  harness racing track.', 'Tennis, netball and volleyball courts: The  Gardens tennis courts have two hard courts with s. Netball and volleyball can also be played on these courts. How about organising some lunchtime matches with colleagues?']"
34,33,30,33_river_captivating_attris_pavillions,"['river', 'captivating', 'attris', 'pavillions', 'stony', 'riverside', 'alongside', 'oscars', 'walking', 'roaring']","['Rivers: Be alert for high river levels and fast flowing water which can make the Gorge hazardous.The best walking period lasts from early November until late .', ' River Walking Track : The  River Walking Track s alongside the captivating  River. Dotted along the track are information boards which high the unique attris of this stretch of the river.', ' River Walking Track: The  River Walking Track s alongside the captivating  River. Dotted along the track are information boards which high the unique attris of this stretch of the river. ']"
35,34,29,34_fishing_trout_fish_lagoon,"['fishing', 'trout', 'fish', 'lagoon', 'anglers', 'spit', 'steampacket', 'azure', 'kingfisher', 'buoys']","['The river: Provided food including crayfish, red fin, yellow belly, cod as well as possum, turtle eggs. , duck, crane and other birds and their eggs. The women predominately fished whilst the men ', 'Gone fishing: Anglers can choose from one of five fishing platforms, with the  Valley Fly Fishing Club and Associated Angling Club regularly stocking the lake with  trout and redfin.', ' Fly Fishers and Trout Anglers Club: Due to the drought trout fishing has not really been possible.  With  now having water and fish added, trout fishing has once again become popular']"
36,35,29,35_primary_school_preschool_kindergarten,"['primary', 'school', 'preschool', 'kindergarten', 'kathleen', 'dinjerra', 'schools', 'students', 'holy', 'ballet']","[' Primary School site: The site of historic  Primary School (No. 764), built in 1868. This g school was damaged in the 1985 fire but, allegedly demolished and removed before restoration assessment was made. ', ""Upper Gully primary school: This  slope was the site of Upper FT Gully primary school until the school moved to Talaskia Rd in 1963. Kids could watch 'Puffing Billy' laboring up the slope from their playground\n"", 'Dinjerra Primary School: Dinjerra is proudly multicultural with over 25 different nalities represented among the student cohort. Classes are kept  small to maximise teaching and learning. ']"
37,36,28,36_dog_dogs_leash_pooch,"['dog', 'dogs', 'leash', 'pooch', 'bags', 'lead', 'let', 'legged', 'vet', 'stead']","['dogs off leash area: Area where you can let your dog off the lead. It also has a creek.', ""Dog walkers' dise: The Crinigan Reserve is an extremely popular place to indulge your pooch in an enjoyable walk, but please keep your furry friend on a leash at all times."", 'Dog park: Two fenced dog parks with multiple access points. One is for smaller dogs and one is for larger dogs. Both parks have water, plastic doggy bags, bins and seats.']"
38,37,25,37_olive_strip_moments_poinciana,"['olive', 'strip', 'moments', 'poinciana', 'dobsons', 'iramoo', 'vas', 'agricultural', 'grasslands', 'nature']","['Iramoo Grassland: The largest of the three, Iramoo is home to the Striped Legless . The striking thing is the expanse of space and the big sky, with grasses gently swaying in the breeze.', 'The Grassland Reserve: Grasslands are critically endangered. This area is being cared for by weed control, burning and revegetation. In Spring it is a mass of  wildflowers. Cup Day would be a good day to come for a look.', 'Chandler oak: William Chandler planted an acorn beside Dobsons Creek in 1875 to mark the birth of his son, Archibald. Dobsons Creek has the highest ecological vas of any  of  waterway. ']"
39,38,25,38_pool_aquamoves_swimming_swim,"['pool', 'aquamoves', 'swimming', 'swim', 'sadler', 'creche', 'olympic', 'pools', 'waterworld', 'swimland']","['Aquamoves: Aquamoves is an aquatic and leisure centre with facilities such as gym, creche sauna, indoor and outdoor pools. ', ""Paul Sadler Swimland brook: Paul Sadler Swimland has received many as in ia and USA, including the induction of Paul Sadler into the ian Swim Coaches and Teachers' Association  of Fame. Call while it's hot!"", ' Aquatic Centre: The outdoor 50m  pool was built in 1957 after the  Olympics, the smaller pool  in 1968 and the indoor heated polls in 2006. Also includes gym, Recreation , Creche and cafe']"
40,39,24,39_pier_altona_port_kiosk,"['pier', 'altona', 'port', 'kiosk', 'cunn', 'ferguson', 'yacht', 'pylons', 'princes', 'angling']","[""St Kilda Pier: home of the famous Kirby's Kiosk.  Beyond the kiosk is the  - home to St Kilda's own  colony.  If you keep your eyes open around dusk you may see them swimming home to roost."", 'Princes Pier: Built between 1912 and 1915, Princes Pier was the third major pier constructed at Port  and served as a major passenger terminal.', 'Town Pier - now the Port  Yacht Club: Black coal arrived here from . Town Pier was the first significant pier structure in the early settlement of Sandridge. It was demolished in the 1950s. ']"
41,40,24,40_toilets_toilet_public_showers,"['toilets', 'toilet', 'public', 'showers', 'clean', 'amenities', 'basll', 'rules', 'stables', 'unisex']","[""Public toilets and drinking : Phew! It's a pretty steep ramp that leads you up here. A convenient toilet stop and a chance to top up your water bottle before heading off again. "", '19. Underground public toilets: The underground public toilets, built in 1939, are one of eleven built in  in response to public demand for public toilet facilities in  that were both sanitary and discreet.', 'Toilet B and Tourism Map: There is a brick toilet b that is well kept, clean and concrete floor.  It is located in easy walk from the carpark and BBQ area and wheelchairs are well catered for.']"
42,41,24,41_hotel_hotels_hardiman_harp,"['hotel', 'hotels', 'hardiman', 'harp', 'mecure', 'erin', 'bull', 'job', 'railways', 'photos']","['Harp of Erin Hotel remains : The bustling Harp Of Erin Hotel remained in business from the late 1800’s until the early 1900’s, finally falling into disrepair. There are only a few bstones remaining now. ', ""YWCA's Jasper Hotel - 489  Street: The YWCA provided services to women such as housing, job placement and mentoring. Inside is a plaque acknowledging  Henry, pioneer journalist and unionist. Now a hotel and conference venue."", 'Shamrock Hotel - corner Pall Mall & on St: Built in 1854. The gold miners who came to see a show allegedly threw gold nuggets at the feet of a performer one night. Hotel staff later picked them up as tips! What a great job!']"
43,42,22,42_gym_exercise_equipment_outdoor,"['gym', 'exercise', 'equipment', 'outdoor', 'consists', 'fitness', 'ups', 'gear', 'crunches', 'equipments']","['Outdoor Gym: The next outdoor gym station at Liberty Avenue near Magna Place consists of step ups, pull ups, leg raises and a stretch station. ', 'Outdoor gym: Check out the basic exercise equipment on the path and at a few pull ups or crunches to your walk', 'Outdoor Gym: The Liberty Avenue outdoor gym consists of a body twist, multi bars, eliptical trainer and leg press. It also features a set of instuctions on how to use the equipment. ']"
44,43,19,43_blind_spring_goat_trail,"['blind', 'spring', 'goat', 'trail', 'creek', 'crosses', 'group', 'friends', 'shared', 'deck']","['Blind Creek Trail shared path: Enter off  Road and follow the trail along to  Road.', 'New path, connecting the  Creek Trail with the Main  Trail: Look left here to see the new path to the Main  Trail, via  Waller Reserve.  This path is due to open to the public in 2017, though it is already well-trodden. ', 'Friends of  – Blind Creek  Group: This group assists with the implementation of the Blind Creek  Management Plan. The Blind Creek  Group meet regularly & conduct weng, rubbish removal and genous planting. ']"
45,44,18,44_wildflowers_wildflower_daisies_yam,"['wildflowers', 'wildflower', 'daisies', 'yam', 'flowers', 'daisy', 'fingernail', 'edgars', 'bumpy', 'peculiar']","[""Wildflower 4: These are s. I have them in my front yard. The purple flowers are great. Plus, they're a very  plant that will grow in the toughest environment (eg. my front yard)."", 'Wildflower 7: These are tiny flowers we found along the path. They are very dainty and easily missed, or trampled on! They were the size of a fingernail.', 'Yam Daisies (also known as Murnong and Native Dandelion): Yam Daisies are an an ble genous plant. They have been planted here by the Merri & Edgars Creek Confnce Area Restoration Group. Look for the cluster of plantings south of  Road.']"
46,45,17,45_tower_towns_pumped_pump,"['tower', 'towns', 'pumped', 'pump', 'supply', 'water', 'pumping', '1957', 'electri', '18x15']","[' Railway Station Water Tower: Built in 1870 to supply water to steam trains, the 18\'x15\' tower was made from locally made bricks, with 27"" thick walls. Water was pumped from the  River. ated to the EPA in 1972.', 'The Old Water Tower: Used to store the town’s water supply (pumped from the ). The pumping station was on rails to move up the bank in times of flood. The station also produced the town’s electri until 1948.', 'The Old Water Tower: Used to store the town’s water supply (pumped from the ) the pumping station was on rails to move up the bank in times of flood. The station also produced the town’s electri until 1948.']"
47,46,17,46_square_bowl_albanian_music,"['square', 'bowl', 'albanian', 'music', 'outing', 'events', 'myer', 'sidney', 'carols', 'arts']","['Sidney Myer Music Bowl: Attend the free Wellbeing music concert at the Bowl at 12pm after the walk to celebrate the wellbeing of Aboriginal and er people. ', 'Sidney Myer Music Bowl: The Sidney Myer Music Bowl is a very large outdoor venue - home to Carols by Candle on Christmas eve.', 'Albanian Mosque: The Albanian Muslim community formed the Albanian ian mic Society in 1963 to preserve culture & identity and promote mutual understanding, harmony and cooperation within the local community']"
48,47,17,47_tramway_formation_grub_tramline,"['tramway', 'formation', 'grub', 'tramline', 'expensive', 'shows', 'hopper', 'materials', 'branch', 'cutting']","['Tramway display: This static display shows the type of stone hopper used on the narrow gauge horse-drawn  tramway. The hopper was manufactured in Leeds UK', 'Tramway formation: The 4WD track visibly becomes a former tramway at about this point. The formation is dug into the steep hillside, which is unusual as such excavation was of course expensive', 'Tramway cutting: Tramline track does not follow the course of the old tramway at this point. The cutting on the right shows where it went. Cuttings were rare on tramways as being expensive to escavate by hand']"
